drug1,drug2,similarity
DB00368,DB00586,0.239
DB00184,DB00586,0.155
DB00451,DB00586,0.216
DB00668,DB00586,0.386
DB00655,DB00586,0.294
DB00988,DB00586,0.152
DB00783,DB00586,0.477
DB00936,DB00586,0.615
DB01103,DB00586,0.172
DB00640,DB00586,0.151
DB03128,DB00586,0.509
DB00917,DB00586,0.696
DB01045,DB00586,0.17
DB01211,DB00586,0.23
DB00440,DB00586,0.321
DB00715,DB00586,0.168
DB01059,DB00586,0.205
DB00264,DB00586,0.388
DB00333,DB00586,0.208
DB00458,DB00586,0.394
DB01095,DB00586,0.173
DB00813,DB00586,0.586
DB00927,DB00586,0.274
DB00320,DB00586,0.23
DB00390,DB00586,0.208
DB01396,DB00586,0.259
DB00861,DB00586,0.617
DB00921,DB00586,0.217
DB00321,DB00586,0.387
DB01118,DB00586,0.273
DB00382,DB00586,0.176
DB04557,DB00586,0.661
DB00802,DB00586,0.23
DB00285,DB00586,0.23
DB01104,DB00586,0.15
DB03783,DB00586,0.504
DB01400,DB00586,0.457
DB00696,DB00586,0.322
DB00514,DB00586,0.451
DB01242,DB00586,0.155
DB00215,DB00586,0.174
DB01175,DB00586,0.174
DB00966,DB00586,0.152
DB00669,DB00586,0.325
DB00968,DB00586,0.155
DB00500,DB00586,0.748
DB01097,DB00586,0.239
DB01167,DB00586,0.155
DB00977,DB00586,0.284
DB01142,DB00586,0.151
DB00342,DB00586,0.153
DB00455,DB00586,0.176
DB00176,DB00586,0.153
DB00759,DB01050,0.264
DB01165,DB01050,0.27
DB00199,DB01050,0.393
DB00537,DB01050,0.368
DB01212,DB01050,0.23
DB00564,DB01050,0.65
DB00316,DB01050,0.839
DB00254,DB01050,0.215
DB00554,DB01050,0.92
DB00795,DB01050,0.385
DB04216,DB01050,0.157
DB00412,DB01050,0.454
DB00641,DB01050,0.382
DB01393,DB01050,0.402
DB00594,DB01050,0.31
DB00197,DB01050,0.314
DB00523,DB01050,0.274
DB00755,DB01050,0.274
DB01124,DB01050,0.299
DB00373,DB01050,0.152
DB00624,DB01050,0.305
DB00675,DB01050,0.328
DB00605,DB01050,0.905
DB00203,DB01050,0.209
DB00533,DB01050,0.904
DB00877,DB01050,0.217
DB00863,DB01050,0.571
DB00571,DB01050,0.508
DB03322,DB01050,0.508
DB01069,DB01050,0.208
DB00396,DB01050,0.214
DB01032,DB01050,0.285
DB00635,DB01050,0.46
DB00860,DB01050,0.422
DB00175,DB01050,0.193
DB01132,DB01050,0.346
DB00812,DB01050,0.663
DB01174,DB01050,0.301
DB01229,DB01050,0.236
DB01183,DB01050,0.319
DB00295,DB01050,0.626
DB00471,DB01050,0.282
DB00683,DB01050,0.393
DB00959,DB01050,0.529
DB00563,DB01050,0.417
DB00814,DB01050,0.729
DB00555,DB01050,0.284
DB01009,DB01050,0.931
DB01026,DB01050,0.153
DB01221,DB01050,0.273
DB00328,DB01050,0.964
DB00281,DB01050,0.562
DB00741,DB01050,0.315
DB00502,DB01050,0.151
DB01016,DB01050,0.152
DB01241,DB01050,0.506
DB00695,DB01050,0.432
DB00158,DB01050,0.322
DB00712,DB01050,0.967
DB00472,DB01050,0.435
DB00544,DB01050,0.171
DB00749,DB01050,0.703
DB00584,DB01050,0.218
DB00313,DB01050,0.427
DB01075,DB01050,0.409
DB00343,DB01050,0.215
DB00255,DB01050,0.499
DB00586,DB01050,0.941
DB00829,DB01050,0.477
DB00182,DB01050,0.155
DB00470,DB01050,0.204
DB01394,DB01050,0.244
DB00907,DB01050,0.175
DB00257,DB01050,0.154
DB00758,DB01050,0.273
DB00575,DB01050,0.303
DB00501,DB01050,0.399
DB00477,DB01050,0.205
DB01114,DB01050,0.296
DB00608,DB01050,0.325
DB00439,DB01050,0.367
DB00482,DB01050,0.942
DB00661,DB01050,0.272
DB00201,DB01050,0.669
DB00945,DB01050,0.975
DB01435,DB01050,0.45
DB00277,DB01050,0.31
DB00437,DB01050,0.518
DB00252,DB01050,0.411
DB00445,DB01050,0.186
DB00997,DB01050,0.186
DB00788,DB01050,0.979
DB00468,DB01050,0.22
DB00908,DB01050,0.22
DB00368,DB01050,0.348
DB00184,DB01050,0.276
DB00627,DB01050,0.171
DB01065,DB01050,0.182
DB00451,DB01050,0.171
DB00668,DB01050,0.471
DB01235,DB01050,0.153
DB00655,DB01050,0.234
DB00988,DB01050,0.23
DB00783,DB01050,0.441
DB00936,DB01050,0.823
DB01103,DB01050,0.277
DB00640,DB01050,0.27
DB03128,DB01050,0.365
DB00917,DB01050,0.76
DB01045,DB01050,0.178
DB01211,DB01050,0.194
